State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,1265.0,1466.0,1639.0,1953.0,2294.0,2773.0,3056.0,3478.0,4279.0,4477.0,5347.0,6282.0,7066.0,8251.0,8786.0,9875.0,11193.0,13841.0,14260.0,16805.0,19475.0,21845.0,23003.0,26869.0,28750.0,34851.0,44245.0,54143.0,62858.45,64678.35,80996.3,93553.69,103830.28,110718.83,90672.45,89380.81999999998,109299.85
Arunachal Pradesh,,,,,,,212.0,296.0,307.0,289.0,358.0,446.0,503.0,546.0,606.0,754.0,809.0,837.0,924.0,1020.0,960.0,1058.0,1108.0,1576.0,1502.0,1849.0,2592.0,3003.0,3855.96,4294.86,5422.08,5499.06,5761.52,5820.43,9136.05,11407.98,12774.16
Assam,522.0,366.0,439.0,551.0,699.0,938.0,1210.0,1241.0,1373.0,1532.0,1777.0,2418.0,2613.0,3318.0,2961.0,3376.0,3856.0,4326.0,4507.0,4841.0,5638.0,5965.0,6793.0,7765.0,9937.0,12045.0,13667.0,15325.0,18077.03,19884.49,23004.96,27455.4,30690.98,32212.79,38181.49000000001,44263.13,66179.88
Bihar,988.0,1160.0,1319.0,1504.0,1794.0,2396.0,2623.0,2809.0,3489.0,3911.0,4322.0,4854.0,5964.0,6629.0,6798.0,7377.0,8038.0,8693.0,9272.0,12579.0,11385.0,10219.0,11569.0,13525.0,15714.0,17837.0,23083.0,28210.0,412.47,35526.83,44532.32,51320.17,59566.66,68918.65,78417.54000000001,100183.77,124590.24
Chhattisgarh,,,,,,,,,,,,,,,,,,,,,1883.0,4376.0,5417.0,5959.0,7249.0,8839.0,11450.0,13879.0,15662.76,18153.66,22719.55,25867.38,29578.08,32050.27,37932.8,58813.72,61426.67
Goa,,,,,,,171.0,162.0,211.0,217.0,283.0,322.0,389.0,464.0,534.0,818.0,810.0,1108.0,1147.0,1228.0,1483.0,1873.0,1833.0,1623.0,1820.0,2169.0,2610.0,2944.0,3528.27,4100.280000000002,5441.940000000001,5779.31,5845.42,6449.77,7688.68,8953.4,10641.96
Gujarat,1025.0,1160.0,1349.0,1565.0,1770.0,1903.0,2160.0,2806.0,3236.0,3601.0,3379.0,4663.0,5911.0,7030.0,7806.0,8544.0,9668.0,11125.0,12743.0,13900.0,15739.0,15986.0,17875.0,18248.0,20265.0,25067.0,31002.0,35690.0,38675.71,41672.36,52363.63,62958.97,75228.54000000001,79975.74,91977.8,104384.44,116365.98
Haryana,460.0,536.0,612.0,699.0,791.0,960.0,1130.0,1304.0,1441.0,1607.0,1913.0,2242.0,2378.0,3482.0,5882.0,5015.0,6048.0,5898.0,5479.0,5767.0,6574.0,7601.0,8657.0,9843.0,11149.0,13853.0,17952.0,19751.0,18452.3,20992.67,25563.67,30557.590000000004,33633.53,38012.08,40798.66,54167.35,62955.53000000001
Himachal Pradesh,292.0,234.0,272.0,317.0,382.0,519.0,534.0,650.0,698.0,721.0,807.0,992.0,1053.0,1465.0,1306.0,1754.0,1992.0,2170.0,2312.0,3715.0,3046.0,3716.0,3659.0,3981.0,4635.0,6559.0,7835.0,9142.0,9307.99,10346.36,12710.61,14542.86,15598.12,15711.070000000003,17843.45,24514.2,26270.370000000006
Jammu & Kashmir,258.0,299.0,325.0,376.0,438.0,602.0,695.0,754.0,902.0,958.0,1158.0,1625.0,2049.0,2227.0,3027.0,3256.0,3690.0,4288.0,4509.0,5514.0,5427.0,6858.0,7065.0,8506.0,9765.0,11540.0,11981.0,13901.0,15810.97,19552.8,22233.65,24782.96,26216.86,27127.98,28938.590000000004,40904.29,50460.34
Jharkhand,,,,,,,,,,,,,,,,,,,,,,6100.0,7406.0,7443.0,7307.0,8203.0,10144.0,11612.0,16107.09,19840.77,20101.73,22419.45,24769.56,26136.79,31564.56,48650.29,55756.42
Karnataka,954.0,1167.0,1281.0,1490.0,1740.0,2013.0,2284.0,2557.0,2964.0,3336.0,3892.0,4775.0,5422.0,6325.0,6968.0,8543.0,9622.0,10613.0,11230.0,12907.0,14823.0,15321.0,16169.0,20760.0,26570.0,30352.0,37587.0,41151.0,43290.67,49155.7,58206.23,69806.26999999999,78176.22,89542.53,104142.15,117730.86000000002,130758.08
Kerala,640.0,851.0,810.0,934.0,1125.0,1371.0,1503.0,1586.0,1897.0,2048.0,2403.0,2852.0,3319.0,3922.0,4666.0,5424.0,6145.0,7118.0,7198.0,7942.0,8731.0,9056.0,10634.0,11815.0,13500.0,15295.0,18187.0,21107.0,24512.17,26109.4,30990.95,38010.37,44137.3,49176.93,57950.47,71019.72,84616.86
Madhya Pradesh,1134.0,1344.0,1516.0,1800.0,1813.0,2174.0,2567.0,2994.0,3472.0,3877.0,4545.0,5377.0,6443.0,7070.0,7618.0,8654.0,10014.0,11257.0,11346.0,13204.0,13667.0,11201.0,13390.0,14289.0,19743.0,20597.0,25694.0,30689.0,33577.2,41394.7,51854.18,62604.06999999999,70427.28,75749.24,88640.78,111130.66,126095.13999999998
Maharashtra,2038.0,2386.0,2838.0,3252.0,3668.0,4174.0,4978.0,5579.0,6300.0,7529.0,8699.0,9773.0,10818.0,12987.0,15090.0,16559.0,19255.0,20317.0,21737.0,25270.0,29567.0,30093.0,31103.0,34371.0,41013.0,48438.0,62195.0,79583.0,81270.68,86910.26999999999,105867.81,121286.13999999998,142947.16999999998,114422.88999999998,165415.46000000002,198320.91,220810.05
Manipur,111.0,95.0,113.0,130.0,171.0,226.0,248.0,287.0,343.0,332.0,396.0,451.0,480.0,579.0,592.0,692.0,808.0,863.0,897.0,1070.0,1045.0,1177.0,1328.0,1420.0,1743.0,2409.0,2863.0,3508.0,3872.61,3873.12,5429.940000000001,5653.55,6819.76,7282.789999999999,7998.269999999998,8745.58,9367.71
Meghalaya,90.0,82.0,97.0,124.0,148.0,183.0,214.0,257.0,302.0,309.0,353.0,404.0,429.0,501.0,530.0,684.0,731.0,697.0,833.0,944.0,1132.0,1123.0,1289.0,1399.0,1546.0,1747.0,2142.0,2441.0,2810.65,3447.34,4260.480000000001,4654.469999999998,5536.34,6266.730000000001,6428.25,8403.02,8980.85
Mizoram,,,,,,130.0,68.0,194.0,274.0,304.0,462.0,400.0,421.0,503.0,538.0,627.0,668.0,722.0,735.0,954.0,828.0,868.0,1022.0,1371.0,1502.0,1654.0,1969.0,2040.0,2653.13,2963.51,3374.71,4011.82,4536.74,4764.85,5511.11,7535.15,7672.48
Nagaland,144.0,108.0,134.0,162.0,201.0,265.0,297.0,351.0,385.0,347.0,417.0,495.0,514.0,632.0,631.0,781.0,874.0,993.0,1036.0,1144.0,1420.0,1496.0,1399.0,2360.0,1840.0,2267.0,2773.0,2996.0,3400.89,3719.76,4999.99,5586.38,6204.29,6497.9,7650.94,8993.86,10568.9
Odisha,621.0,602.0,802.0,783.0,823.0,941.0,1228.0,1333.0,1551.0,1741.0,2171.0,2447.0,2913.0,3208.0,3576.0,3891.0,4287.0,4632.0,4554.0,5885.0,6902.0,7048.0,8439.0,9440.0,11850.0,14085.0,18033.0,21967.0,24610.01,26430.2,33276.15,40267.02,43936.91,48946.85,56997.88000000001,71569.18000000001,78126.70999999999
Punjab,568.0,683.0,786.0,879.0,932.0,1170.0,1293.0,1405.0,1624.0,1800.0,1976.0,3716.0,2787.0,3277.0,5301.0,5185.0,5569.0,6351.0,5756.0,7468.0,9377.0,8929.0,11071.0,12139.0,13807.0,16966.0,16795.0,19238.0,20712.79,22156.58,27608.47,26235.78,32051.15,35103.54,39022.85,45603.49000000001,50180.96
Rajasthan,753.0,857.0,1009.0,1143.0,1227.0,1506.0,1807.0,2183.0,2352.0,2668.0,3648.0,4129.0,4888.0,5597.0,6322.0,7630.0,7560.0,8404.0,8579.0,9790.0,12402.0,12153.0,13082.0,15424.0,17764.0,20839.0,25592.0,30781.0,33468.8,35385.009999999995,45928.2,57010.76,66913.01,74470.37,91326.91,106790.49,123250.53
Sikkim,37.0,39.0,48.0,56.0,77.0,92.0,113.0,127.0,149.0,134.0,160.0,182.0,209.0,225.0,546.0,941.0,1158.0,1300.0,1441.0,1512.0,863.0,1807.0,2081.0,1341.0,1892.0,1964.0,2117.0,2699.0,2671.24,3254.390000000001,3047.3,3672.64,3793.32,4326.440000000001,4461.95,4853.68,4885.3
Tamil Nadu,1280.0,1442.0,1678.0,1963.0,2228.0,2638.0,2879.0,3092.0,3489.0,4252.0,5088.0,6776.0,7016.0,8066.0,9219.0,10599.0,11961.0,13587.0,14261.0,16328.0,18317.0,18818.0,20837.0,23706.0,28452.0,33960.0,40913.0,47521.0,55042.52,55844.14,70187.63,85202.14,98827.7,108036.42,122420.44,138306.2,148175.09
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,51041.79,79312.8,100924.75
Tripura,123.0,97.0,124.0,145.0,183.0,231.0,275.0,314.0,396.0,427.0,495.0,563.0,604.0,643.0,741.0,937.0,1029.0,1082.0,1268.0,1439.0,1638.0,1867.0,1880.0,2168.0,2577.0,3024.0,3333.0,3698.0,4076.78,5620.01,5168.6,6476.9,7050.3,7650.18,9239.73,10821.1,12885.98
Uttar Pradesh,1899.0,2260.0,2556.0,2656.0,3145.0,3877.0,4172.0,5332.0,5652.0,6623.0,8310.0,9675.0,11676.0,12131.0,13393.0,15215.0,16029.0,17571.0,17379.0,21495.0,24743.0,25598.0,27821.0,31638.0,37617.0,45349.0,60600.0,68672.0,77830.73,96420.94,111183.76,130869.7,145903.99,168213.75,193421.6,247722.43,281555.44
Uttarakhand,,,,,,,,,,,,,,,,,,,,,924.0,2733.0,3218.0,3600.0,4086.0,5537.0,7373.0,7891.0,8634.89,9486.13,11608.16,13691.420000000002,15747.22,17320.53,20246.55,26012.82,32275.870000000006
West Bengal,1092.0,1224.0,1379.0,1533.0,1779.0,2343.0,2510.0,2912.0,3337.0,3494.0,4109.0,4678.0,5227.0,5921.0,6864.0,7376.0,8227.0,9028.0,9387.0,10211.0,14522.0,14538.0,14525.0,16609.0,19918.0,23726.0,25828.0,30167.0,36904.4,36921.65,47264.19,58755.04,68295.75,72881.79000000001,86514.20999999999,109631.73,129530.33
All States,16293.0,18455.0,21126.0,24014.0,27426.0,33424.0,38225.0,44002.0,50420.0,56536.0,66467.0,80536.0,91091.0,104997.0,120303.0,134507.0,150041.0,166820.0,172787.0,202927.0,232509.0,249422.0,273674.0,309187.0,363512.0,431021.0,530556.0,623748.0,694657.38,768136.26,935347.2,1098531.33,1252024.01,1369187.04,1591583.41,1958127.06,2257382.43
Delhi,,,,,,,,,,,,,,567.0,1980.0,2297.0,2796.0,3481.0,3660.0,4274.0,5444.0,6254.0,6666.0,7349.0,8563.0,10844.0,12194.0,14912.0,16352.21,20451.34,25024.1,22393.17,25560.97,27980.69,29584.590000000004,35720.92,41390.99000000001
Puducherry,,,,,,,,,,,,,,,,,,,,,,,,,,1802.0,1884.0,2136.0,2458.5,2841.32,3200.04,2771.43,3146.140000000001,4307.61,4757.9,5396.0,5768.0
